Universidade;Estado;Ranking;"Pública ou Privada";"Posição em Ensino";"Nota em Ensino";"Posição em Pesquisa";"Nota em Pesquisa";"Posição em Mercado";"Nota em Mercado";"Posição em Inovação";"Nota em Inovação";"Posição em Internacionalização";"Nota em Internacionalização";Nota
"Universidade do Contestado";SC;194;Privada;195;1.82;185;5.88;157;3.96;132;1.03;128;1.54;14.23
"Universidade Estadual de Ciências da Saúde de Alagoas";AL;195;Estadual;187;5.01;172;7.94;;;;;169;0.92;13.87
"Universidade Estadual da Região Tocantina do Maranhão";MA;196;Estadual;183;5.66;186;5.69;189;1.08;148;0.78;187;0.56;13.77
"Universidade Federal de Rondonópolis";MT;197;Federal;171;7.23;194;3.47;189;1.08;140;0.91;172;0.82;13.51
"Universidade Estadual de Alagoas";AL;198;Estadual;172;6.78;193;3.49;172;2.61;;;193;0.3;13.18
"Universidade Santa Úrsula";RJ;199;Privada;178;6.13;191;4.37;189;1.08;;;168;0.94;12.52
"Universidade Estadual de Roraima";RR;200;Estadual;189;3.88;198;2.93;172;2.61;110;1.36;199;0.19;10.97
"Universidade Cândido Mendes";RJ;201;Privada;201;0.67;201;1.85;116;7.65;;;198;0.24;10.41
"Universidade Alto Vale do Rio do Peixe";SC;202;Privada;185;5.47;202;0.78;199;0.18;;;157;1.09;7.52
"Universidade de Gurupi";TO;203;Municipal;202;0.65;203;0.65;172;2.61;;;202;0.06;3.97
